car_prices_in_rupee,kms_driven,transmission,ownership,manufacture,Seats,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol
14.65,79776,1,1,2015,5,0,1,0,0,0
14.75,108000,0,1,2017,5,0,1,0,0,0
9.45,58000,0,1,2019,5,0,1,0,0,0
22.75,32067,1,1,2018,5,0,0,0,0,1
19.5,52187,0,2,2017,7,0,1,0,0,0
19.4,9562,1,1,2021,6,0,0,0,0,1
18.1,36388,0,1,2019,5,0,1,0,0,0
9.75,45000,1,2,2011,5,0,1,0,0,0
17.75,36149,0,1,2019,5,0,1,0,0,0
16.95,20155,0,1,2020,5,0,0,0,0,1
16.75,51904,1,1,2019,5,0,0,0,0,1
7.25,54000,1,1,2015,5,0,0,0,0,1
15.65,31727,0,2,2019,5,0,0,0,0,1
14.45,73986,1,1,2017,7,0,1,0,0,0
14.25,7100,0,1,2021,5,0,1,0,0,0
13.95,5397,0,1,2021,5,0,0,0,0,1
7,90000,0,1,2017,5,0,1,0,0,0
4.75,80000,0,2,2013,5,0,0,0,0,1
7,91000,1,2,2015,5,0,0,0,0,1
23.75,69000,1,2,2010,5,0,1,0,0,0
17.5,89000,0,2,2014,7,0,1,0,0,0
8.25,95254,0,1,2013,7,0,1,0,0,0
10.5,51000,0,1,2016,5,0,0,0,0,1
3.95,62000,1,2,2014,5,0,0,0,0,1
12.35,120000,0,1,2017,7,0,1,0,0,0
25.75,2000,1,1,2022,5,0,1,0,0,0
6.85,46000,0,1,2017,5,0,0,0,0,1
9.45,65000,0,2,2017,7,0,1,0,0,0
4.25,22248,0,1,2017,5,0,0,0,0,1
5.75,73000,0,1,2013,5,0,0,0,0,1
11.45,54000,1,1,2021,5,0,0,0,0,1
2.6,90000,0,2,2006,5,0,0,0,0,1
27.25,15000,1,1,2021,5,0,0,0,0,1
18.2,30000,1,1,2021,5,0,1,0,0,0
27.95,26000,1,1,2016,5,0,1,0,0,0
3.5,155000,0,2,2006,7,0,1,0,0,0
6.75,28211,0,1,2016,5,0,0,0,0,1
16.75,40000,1,1,2019,5,0,0,0,0,1
24.5,54000,1,1,2015,5,0,1,0,0,0
10.25,82000,0,2,2015,7,0,1,0,0,0
4.65,117000,0,1,2011,5,0,0,0,0,1
11.25,111000,0,2,2015,8,0,1,0,0,0
7.95,108000,1,1,2018,5,0,1,0,0,0
3.3,4000,0,1,2017,5,0,0,0,0,1
6.85,290000,0,3,2011,7,0,1,0,0,0
17.95,13000,1,1,2020,5,0,0,0,0,1
4.9,60000,0,1,2018,5,0,0,0,0,1
9.75,90000,0,1,2018,5,0,1,0,0,0
5.75,11000,0,1,2018,5,0,0,0,0,1
9.85,59000,0,1,2018,5,0,1,0,0,0
2.25,46000,0,2,2008,5,0,0,0,1,0
1.35,80000,0,3,2004,5,0,0,0,0,1
7.5,25000,0,1,2019,5,0,0,0,0,1
7.25,54801,0,2,2018,5,0,0,0,0,1
2,75000,1,2,2005,5,0,0,0,0,1
8.65,130000,0,1,2017,5,0,1,0,0,0
3.1,71000,0,2,2013,5,0,0,0,0,1
10,70000,1,1,2010,5,0,0,0,0,1
10.45,14115,0,1,2019,5,0,0,0,0,1
7.5,30000,0,2,2019,5,0,0,0,0,1
2.95,80000,0,2,2006,5,0,0,0,0,1
2.95,56117,0,1,2009,7,0,1,0,0,0
19.49,38391,1,1,2018,5,0,0,0,0,1
7.75,45000,0,1,2017,5,0,1,0,0,0
6.95,68000,1,2,2014,5,0,1,0,0,0
8.25,67000,0,1,2018,5,0,1,0,0,0
7.75,80000,0,1,2018,5,0,0,0,0,1
6.75,62000,0,1,2016,5,0,0,0,0,1
2.5,50000,0,2,2009,7,0,1,0,0,0
6.95,100000,0,3,2012,7,0,1,0,0,0
2.75,75000,0,5,2006,5,0,0,0,0,1
6.5,120000,0,2,2014,7,0,1,0,0,0
17.45,37000,1,2,2016,5,0,1,0,0,0
6.95,79000,0,2,2015,5,0,1,0,0,0
1.8,80000,0,1,2007,5,0,0,0,0,1
4.75,14000,0,1,2014,5,0,0,0,0,1
5.25,28217,1,2,2018,5,0,0,0,0,1
1.4,90000,0,2,2003,5,0,0,0,0,1
1.85,120000,0,2,2005,5,0,0,0,0,1
10.45,26000,0,1,2021,5,0,0,0,0,1
30,100000,1,2,2013,7,0,1,0,0,0
5,50000,0,1,2019,5,0,0,0,0,1
8.75,70000,0,1,2019,5,0,1,0,0,0
3.62,80000,0,3,2016,5,0,0,0,0,1
1.8,157000,0,3,2010,5,0,0,0,0,1
17.45,15550,0,1,2021,4,0,1,0,0,0
8,80000,0,1,2017,7,0,1,0,0,0
13.95,59432,1,1,2017,7,0,1,0,0,0
10.45,53047,0,1,2020,5,0,0,0,0,1
7.75,46464,0,1,2016,5,0,0,0,0,1
1.2,70000,0,4,2007,5,0,0,0,0,1
10.75,23000,0,2,2019,5,0,1,0,0,0
9.2,35000,0,2,2018,7,0,1,0,0,0
10.5,80000,0,1,2016,5,0,1,0,0,0
2,100000,1,4,2006,5,0,0,0,0,1
3.5,95000,0,1,2014,5,0,0,0,0,1
2.6,100000,0,1,1995,6,0,1,0,0,0
1.8,50000,0,3,2012,5,0,0,0,0,1
5.25,64000,0,1,2015,5,0,0,0,0,1
10.85,15509,1,2,2020,5,0,0,0,0,1
9.65,43203,0,2,2018,5,0,1,0,0,0
2.66,80000,0,1,2007,5,0,0,0,0,1
17.95,50000,0,1,2020,5,0,1,0,0,0
4.6,40000,1,2,2017,5,0,0,0,0,1
9.95,111000,0,1,2020,5,0,1,0,0,0
1.2,73000,0,2,2006,5,0,0,0,0,1
16.75,220000,0,2,2014,7,0,1,0,0,0
5.35,11717,0,2,2017,5,0,0,0,0,1
6.48,15000,0,1,2021,5,0,0,0,0,1
5.95,110000,0,2,2013,7,0,1,0,0,0
14.25,66968,1,1,2016,7,0,1,0,0,0
5,120000,0,2,2015,5,0,1,0,0,0
7.35,70000,0,1,2018,7,0,1,0,0,0
7.55,47000,1,2,2017,5,0,0,0,0,1
2.5,110000,0,4,2006,5,0,0,0,0,1
4.95,81000,0,2,2012,5,0,1,0,0,0
2.25,70000,1,3,2005,5,0,0,0,0,1
15.95,12662,0,1,2021,5,0,0,0,0,1
10.25,14000,0,1,2018,5,0,0,0,0,1
5.75,56000,0,2,2014,5,0,0,0,0,1
9.96,54000,0,1,2019,5,0,1,0,0,0
7.75,63000,0,1,2020,5,0,0,0,0,1
5.2,40000,0,2,2013,5,0,0,0,0,1
2.1,60000,0,2,2008,5,0,0,0,0,1
6,80000,0,2,2013,5,0,1,0,0,0
6.5,120000,0,1,2016,7,0,1,0,0,0
5.85,15000,0,2,2022,5,0,0,0,0,1
2.92,295000,0,2,2009,5,0,0,0,0,1
6.5,60000,0,3,2017,5,0,1,0,0,0
4.25,50000,1,1,2014,5,0,0,0,0,1
4.45,55000,0,2,2014,5,0,0,0,0,1
6.75,77000,1,2,2014,5,0,0,0,0,1
5.33,33389,0,1,2015,5,0,0,0,0,1
5.36,17526,0,1,2014,5,0,0,0,0,1
5.64,15757,0,1,2018,5,0,0,0,0,1
2.78,8183,0,1,2012,5,0,0,0,0,1
5.83,32590,0,1,2017,5,0,0,0,0,1
6.99,45423,0,2,2016,5,0,0,0,0,1
9,52481,1,2,2016,5,0,0,0,0,1
4.53,22915,0,1,2017,5,0,0,0,0,1
6.01,72123,0,1,2017,5,0,0,0,0,1
5.75,37965,0,1,2017,5,0,0,0,0,1
5.3,27651,0,1,2018,5,0,0,0,0,1
4.95,92771,0,1,2016,5,0,0,0,0,1
10.28,51956,0,1,2018,5,0,0,0,0,1
3.99,34048,0,1,2017,5,0,0,0,0,1
14,60000,1,3,2014,5,0,1,0,0,0
8.11,58596,0,1,2017,5,0,0,0,0,1
6.75,69000,0,1,2016,5,0,1,0,0,0
2.28,50152,0,1,2011,5,0,0,0,0,1
5.14,62164,0,1,2014,5,0,1,0,0,0
8.2,49929,0,1,2017,5,0,0,0,0,1
4.91,60393,0,1,2017,5,0,0,0,0,1
5.88,46281,1,1,2016,5,0,0,0,0,1
5.53,53201,0,1,2017,5,0,0,0,0,1
7.1,80056,0,1,2015,5,0,0,0,0,1
3.2,76175,0,1,2013,5,0,0,0,0,1
6.01,51493,0,1,2015,5,0,0,0,0,1
5.32,63141,0,1,2015,5,0,0,0,0,1
6.51,37057,0,2,2017,5,0,1,0,0,0
8.52,60865,0,1,2015,5,0,0,0,0,1
11.1,45407,0,2,2018,7,0,1,0,0,0
11.83,52652,0,1,2019,7,0,1,0,0,0
10.6,42923,0,1,2019,5,0,1,0,0,0
9.2,56052,0,1,2017,5,0,0,0,0,1
6.51,42923,0,1,2017,5,0,1,0,0,0
8.44,32733,0,2,2018,5,0,0,0,0,1
2.11,62207,0,1,2013,5,0,0,0,0,1
6.03,48352,0,2,2017,5,0,0,0,0,1
6,57080,1,1,2016,5,0,0,0,0,1
6.3,43168,0,1,2016,5,0,0,0,0,1
8.23,69517,0,1,2017,5,0,1,0,0,0
6.18,54166,1,1,2016,5,0,0,0,0,1
2.85,67000,0,1,2014,5,0,1,0,0,0
4.25,21000,1,1,2012,5,0,0,0,0,1
3.9,67200,0,1,2014,5,1,0,0,0,0
6.75,69000,0,1,2016,5,0,1,0,0,0
4.25,46000,1,2,2015,5,0,0,0,0,1
20.9,42000,1,1,2016,5,0,0,0,0,1
4.9,59000,0,1,2019,5,1,0,0,0,0
24.11,50000,1,1,2015,5,0,1,0,0,0
4.9,115000,0,1,2012,7,0,1,0,0,0
3.95,68000,1,1,2010,5,0,0,0,0,1
7.7,29000,1,2,2012,5,0,0,0,0,1
5.75,68000,1,1,2016,5,0,0,0,0,1
5.45,43000,0,1,2016,5,0,0,0,0,1
30,23000,1,2,2019,5,0,1,0,0,0
1.85,68000,0,1,2009,5,0,0,0,0,1
5.4,31000,1,1,2016,5,0,0,0,0,1
